,Unnamed: 0_x,name,ed,EDGE,status_code,ED,ott,Unnamed: 0_y,new_id,new_id.1,new_id.2,new_id.3,new_id.4,new_id.5,new_id.6,new_id.7,new_id.8,new_id.9,new_id.10,new_id.11,new_id.12,new_id.13,new_id.14,new_id.15,new_id.16,new_id.17,new_id.18,new_id.19,new_id.50,new_id.1.1,new_id.2.1,new_id.3.1,new_id.4.1,new_id.5.1,new_id.6.1,new_id.7.1,new_id.8.1,new_id.9.1,new_id.10.1,new_id.11.1,new_id.12.1,new_id.13.1,new_id.14.1,new_id.15.1,new_id.16.1,new_id.17.1,new_id.18.1,new_id.19.1,new_id.20,new_id.21,new_id.22,new_id.23,new_id.24,new_id.25,new_id.26,new_id.27,new_id.28,new_id.29,new_id.51,new_id.1.2,new_id.2.2,new_id.3.2,new_id.4.2,new_id.5.2,new_id.6.2,new_id.7.2,new_id.8.2,new_id.9.2,new_id.10.2,new_id.11.2,new_id.12.2,new_id.13.2,new_id.14.2,new_id.15.2,new_id.16.2,new_id.17.2,new_id.18.2,new_id.19.2,new_id.20.1,new_id.21.1,new_id.22.1,new_id.23.1,new_id.24.1,new_id.25.1,new_id.26.1,new_id.27.1,new_id.28.1,new_id.29.1,new_id.30,new_id.31,new_id.32,new_id.33,new_id.34,new_id.35,new_id.36,new_id.37,new_id.38,new_id.39,new_id.40,new_id.41,new_id.42,new_id.43,new_id.44,new_id.45,new_id.46,new_id.47,new_id.48,new_id.49
0,1,Latimeria chalumnae,213.0231445,8.14,CR,8.14,773491.0,875850,70.889534,315.032227,169.007675,112.020357,215.026578,215.027351,315.032502,70.889849,213.022767,126.537003,112.019195,215.026593,213.024992,315.032044,315.032568,79.99469,315.03225,315.03208,213.022663,112.019328,213.023546,50.512859,315.032589,213.024361,112.019153,70.889556,315.032764,80.135855,169.892418,215.02662,213.023696,215.027312,79.991599,315.032104,215.026665,315.032476,315.032157,59.404539,112.019284,213.023162,215.026621,315.033163,150.49511,315.032548,213.023127,213.022704,315.033751,80.514247,157.519698,315.032637,213.022872,112.019143,169.038379,315.03214,213.023167,213.023557,315.032421,315.0322,112.019203,80.134324,112.019201,315.032184,213.024064,169.006268,215.02657,215.027018,315.032135,138.878715,215.027447,315.033107,213.022824,213.0228,157.519633,112.019156,168.757142,213.023316,79.9947,112.019196,315.034279,168.747529,215.02661,150.495099,157.519616,112.0191,168.757524,215.026589,80.009752,213.022699,315.032602,315.032245,79.991777,213.022696,315.032386,169.904893,112.019218,315.032186,215.026587,315.032287,315.032607,112.019224
1,2,Neoceratodus forsteri,284.2442015,7.73,EN,7.73,773500.0,875852,242.109998,288.92593,242.110943,285.509911,285.50872,300.011168,242.109726,102.100877,288.92585,86.119665,285.508749,125.437497,300.012629,242.109268,300.010826,284.211101,242.109473,300.010338,163.355839,125.437645,242.110149,78.765312,242.109813,163.357537,285.508707,102.100583,163.35656,300.01206,105.715595,125.437523,300.011333,300.011129,300.010463,163.3559,285.508806,288.92618,288.925861,242.111326,125.4376,242.109765,300.010438,163.35696,242.110332,242.109771,163.356303,288.925787,242.110975,284.341281,285.27461,242.10986,242.109475,300.010373,284.245941,242.109364,300.010804,163.356733,163.356218,288.925903,242.109398,284.246001,285.508755,163.355981,242.110667,284.242462,300.010387,125.437921,288.925838,300.011044,285.509589,300.011364,288.925907,300.010438,285.274545,125.437472,242.109439,163.356491,284.211111,242.109391,300.012537,300.010534,300.010428,300.011355,102.100494,125.437416,284.21508,300.010406,300.01095,288.925783,242.109825,300.010503,284.21045,300.010334,300.010644,284.342338,300.010447,300.010444,242.10937,300.010545,242.109831,285.508778
2,3,Galaxaura barbata,132.489976,7.67,CR,7.67,4012881.0,113916,122.075937,140.436857,140.436763,210.071185,173.316062,140.435755,124.506436,120.711946,173.316152,122.075788,120.681521,173.317129,124.515182,176.356399,124.50003,122.075719,220.444673,174.7821,124.504805,174.78213,174.783197,120.742921,124.543547,176.35713,140.435843,120.689706,124.498947,124.50443,176.35652,124.484629,179.200619,179.2018,124.492777,124.543048,124.484764,124.51402,174.782128,173.317412,173.316762,174.783529,140.436756,174.782104,140.437025,120.703301,143.379696,140.435841,173.316057,120.680063,120.742661,174.783529,140.436944,142.137929,120.741583,124.483652,174.783187,122.075869,124.515655,120.695387,179.201354,120.702689,142.137929,122.074687,143.379696,124.500124,120.702733,124.514107,179.201354,124.544077,173.317266,120.703271,120.74231,120.695387,174.782152,122.075874,124.503468,142.137929,120.702707,174.782738,174.782832,140.436944,124.504524,120.703134,174.782738,124.483436,176.357471,174.782097,122.075719,173.316149,124.544197,140.436763,120.689664,140.435843,124.484679,140.436875,173.317179,120.7417,124.544106,174.783498,120.7417,124.484173
3,4,Mankyua chejuensis,125.8252895,7.62,CR,7.62,932011.0,159812,50.629439,170.092444,171.199578,105.365911,171.087188,125.859231,171.193667,170.391648,125.59966,170.09744,171.201515,50.62924,103.937813,171.36208,171.058428,171.107331,63.687873,171.200081,50.629576,104.463481,105.339963,171.386349,171.303275,103.937478,170.563305,125.867558,171.088337,125.86028,104.45114,104.464513,105.345574,171.364386,105.345376,170.095597,50.629359,171.193466,104.026767,105.34024,171.09439,125.595199,60.173062,171.200085,171.204497,125.600038,171.362004,171.19484,105.338883,171.09363,171.19964,171.757488,171.111404,105.345405,125.600471,171.089772,50.629227,105.346573,171.659556,171.723856,170.565609,63.687519,125.790155,50.628178,105.345474,171.369688,171.09438,171.194725,104.02744,170.092464,125.791348,171.201329,171.10819,63.687997,105.338918,171.502602,105.356043,171.36866,63.688715,50.628779,105.339598,105.346577,104.464607,171.363202,171.381308,104.472985,125.791212,105.345373,105.342443,171.820665,171.201343,50.629161,125.791183,60.172149,63.689141,171.107414,170.093627,63.686978,93.757459,171.194969,170.095593,63.688647
4,5,Procaris chacei,121.9056245,7.58,CR,7.58,2973818.0,1205963,59.209487,60.987377,121.906987,121.906396,121.912512,60.987109,121.912305,121.906382,59.209502,58.380615,60.987155,121.90665,60.987003,121.912455,60.987015,121.906728,121.906729,121.905584,121.912398,46.915768,59.209162,59.209655,121.905398,121.906547,121.90648,121.912493,60.986947,121.906477,121.906908,60.98723,43.565337,59.209667,60.98665,121.912191,121.906929,46.914705,121.911779,121.906925,121.906746,121.91182,60.986921,121.914292,60.986195,60.986713,60.986201,121.90671,121.906853,121.906486,121.911941,60.067988,60.987073,121.904421,60.986341,60.986458,60.987252,121.907002,59.208807,121.906758,121.907021,43.565802,60.987184,121.912621,60.98603,60.987039,121.905382,121.905806,121.90653,121.911684,59.209291,59.209839,121.90636,121.905754,121.912442,121.906561,60.986708,58.380721,121.912118,59.209624,43.56553,59.209679,59.209493,121.912505,60.986903,60.987098,121.912561,58.380518,58.380584,121.912435,121.905665,60.985895,121.91251,121.906675,121.906566,121.912355,121.906142,121.911919,59.209401,59.209624,121.906507,121.906234
5,6,Acipenser sturio,118.063224,7.55,CR,7.55,754422.0,841436,134.992527,117.422348,131.918471,111.899533,120.875276,107.624367,132.36347,132.663079,101.694268,96.509752,99.219669,131.778926,134.624885,134.375183,120.181212,98.593647,132.363276,133.171128,116.88853,118.062192,118.062816,130.263626,117.486703,118.063632,133.171173,96.509198,119.162968,95.152041,97.59852,135.277252,98.431363,131.562763,118.416956,118.061995,105.652421,132.282178,96.50886,118.418141,118.279029,117.486655,120.875319,134.993101,121.454049,111.89838,95.213893,134.992312,119.163955,121.492585,118.278518,132.662841,117.414354,101.643859,98.593654,96.43978,135.277359,111.89914,93.018099,121.123071,131.778948,117.423238,96.509147,96.662634,134.624315,96.508966,121.777203,134.992806,111.898338,96.006177,121.493235,99.737852,131.778325,133.681182,97.638138,131.778901,98.933113,121.454386,132.280856,96.509142,117.548687,102.030822,98.593932,131.047155,118.278907,132.281774,97.56727,135.277222,117.41585,98.430367,134.632146,107.623052,132.363361,135.277149,101.643864,105.652228,132.281891,98.602325,133.171195,79.369884,111.93911,113.761546
6,7,Mictocaris halope,98.0124815,7.37,CR,7.37,140093.0,1225561,112.55238,98.012296,112.552789,98.011169,98.012676,98.012596,112.552337,61.098852,98.012526,100.188412,112.55251,112.552452,64.674094,98.012619,64.672605,112.55253,98.012332,98.011397,112.55243,80.511832,98.012186,98.012679,98.011386,112.552349,112.552282,112.552525,98.011524,112.55228,112.55271,98.012717,98.010986,112.55256,58.448601,98.012355,98.012295,80.51077,98.011942,98.012291,100.188537,98.011984,112.552276,98.012166,98.011737,58.300982,98.011688,112.552512,98.012219,64.69306,98.012104,98.01225,100.188418,112.550223,98.011883,112.551813,98.012739,98.012605,98.011831,98.012692,95.155889,98.011451,98.012671,98.012785,98.011572,98.012526,80.511858,80.512282,98.012463,98.011847,98.012315,98.012863,112.552162,80.512231,112.552475,64.720297,112.552063,98.01233,98.012281,98.012648,69.011908,112.552572,98.012517,98.012669,112.552258,112.552454,98.012725,98.012128,98.012194,112.552467,98.011478,98.011382,112.552542,100.188466,98.0125,112.552387,80.512619,112.551951,98.012425,112.552517,64.672545,58.31461
7,8,Erymnochelys madagascariensis,96.9034815,7.36,CR,7.36,775068.0,889603,113.182368,83.885412,85.507233,107.836838,104.954905,108.221383,88.449867,88.450147,111.649824,108.638289,82.844617,108.220261,104.048597,90.042309,85.661241,88.412386,78.716145,85.660954,88.505306,104.955067,106.341778,105.540629,108.221667,88.507735,87.253489,111.965553,82.61938,78.718002,81.591019,103.764654,87.479262,72.412258,89.782301,88.690933,105.432131,89.781992,107.552979,103.991364,105.258324,113.353877,113.42898,103.990296,104.273028,103.822303,89.162246,109.913694,88.414547,87.478802,104.046433,82.619369,106.171838,89.161846,83.89441,113.428939,89.607904,85.670824,105.201969,104.046291,105.333898,81.498579,88.690721,78.715822,105.433262,106.349534,104.046045,88.572312,85.669988,103.765261,106.535318,104.955874,108.637562,88.598003,87.253574,105.299731,113.154557,84.394471,108.580305,106.534757,88.414777,105.432061,106.534744,82.620041,84.394517,81.533905,82.844821,83.086095,113.353478,113.027409,108.220468,72.375002,106.534758,105.541381,109.91326,81.498672,82.618648,88.973265,82.618026,72.412157,82.619697,103.953583
8,9,Euastacus girurmulayn,93.3498585,7.32,CR,7.32,2974611.0,1214758,59.738778,93.453594,87.973465,145.278339,93.539001,93.453325,149.271935,145.278325,146.012833,146.361029,93.453372,149.169084,146.249252,145.343931,89.623445,17.116118,145.278672,149.168018,94.690537,93.349837,146.012493,18.126658,93.34988,89.623424,17.11587,146.012964,93.453164,87.972956,89.623784,17.116173,148.394334,149.481899,148.485398,149.535836,17.116319,14.883367,149.535423,93.640614,59.673643,89.702394,93.453138,18.519944,17.115139,89.623143,87.972233,94.611152,146.249548,17.115877,93.53843,146.140291,145.910917,17.113811,17.115285,145.910302,17.116196,17.116392,148.550396,17.116149,146.249716,93.321879,59.673634,93.539111,17.114974,59.673489,14.884456,14.88488,89.623406,146.012155,149.271781,59.739129,87.972839,94.559809,149.272072,93.453224,148.485456,18.520108,88.051513,18.126626,14.264768,59.73897,88.051749,59.738935,89.623333,145.910942,89.703135,59.764857,148.577221,146.012906,87.972144,145.909739,149.27214,17.116066,17.115957,18.126497,93.350624,93.538408,59.738691,146.012956,145.910798,17.115624
9,10,Huso huso,87.680318,7.26,CR,7.26,751886.0,841447,58.867527,72.142936,19.639338,19.017389,18.775423,58.590401,98.778707,91.317863,22.459423,17.230025,92.178169,55.653926,92.218667,96.861457,74.9018,96.586962,98.778512,90.907152,54.26353,63.339642,16.282914,88.162875,93.472977,55.438632,95.657448,89.793171,95.149243,93.683993,89.36409,97.763527,93.089234,72.783351,94.403231,90.21678,91.333676,90.181427,73.543753,94.404415,16.179177,54.861655,92.527862,19.393249,66.273762,98.766497,93.207209,22.713179,90.563204,20.249293,94.264792,73.883429,15.634451,97.212932,66.132468,88.835019,19.001527,66.670361,87.197761,58.498071,55.653948,72.143826,88.99875,97.658031,92.218097,18.761778,92.47091,97.47908,98.058691,90.104286,76.213824,18.468485,94.2646,65.458633,15.934168,89.67815,89.792844,90.952677,95.929916,18.761954,88.784711,96.160199,18.757354,93.533429,94.265182,18.228227,48.936825,19.99732,17.931176,72.933754,22.353013,18.467333,76.17498,19.677297,19.939894,70.839209,95.102479,92.700434,90.907218,90.457218,72.056313,96.979994
10,11,Leiopelma archeyi,85.9019465,7.24,CR,7.24,248872.0,876870,79.399222,73.139437,89.935241,88.509522,116.221547,73.142711,116.226956,74.913409,98.413568,91.537885,91.537924,93.133968,73.143768,79.40031,87.722657,73.144077,102.73846,76.65697,88.507734,73.140812,73.146412,91.536491,91.941314,66.520739,73.138332,77.815768,74.915058,74.917006,73.137852,88.508174,88.51142,88.202464,76.656091,73.426262,74.911835,73.139624,88.508729,73.426653,94.949777,73.140328,88.513191,93.132015,93.694009,86.920593,87.716757,79.582298,88.203343,61.922033,73.141029,79.404129,74.263199,73.139902,116.221269,87.718542,88.508876,88.50869,73.422357,89.933264,88.510519,72.623528,88.509159,73.139394,85.335098,78.330084,72.623777,67.522312,67.52187,73.422722,91.538636,116.222585,86.468795,74.91907,73.139919,87.716197,93.132681,88.513248,88.50912,73.424118,91.541395,73.140063,102.74306,74.882914,91.54366,85.333727,74.263137,79.582821,81.894426,73.421376,98.414024,73.140032,116.221566,86.920121,73.423047,87.715821,93.280991,73.145378,88.508477,91.539402,88.51141,91.542281
11,12,Eostemmiulus caecus,85.5336175,7.23,CR,7.23,3512005.0,1180722,85.534336,80.169659,60.926978,84.338377,86.562023,84.337778,80.169575,80.282748,85.5337,85.534152,85.531729,86.56349,85.53361,81.654927,86.559311,58.903373,86.559301,85.534042,85.534164,86.236852,86.563335,80.301164,85.53433,85.53399,86.236848,85.533991,80.300679,86.563524,85.529755,85.534012,86.563437,85.534272,85.53269,80.169603,85.534009,86.236351,86.236851,85.534031,86.563994,85.533655,44.961494,84.337876,86.559308,85.533625,74.437343,61.363346,85.533882,85.534477,84.337296,86.563485,86.563216,44.961431,80.173773,86.563279,86.237441,85.534174,84.337952,81.655026,84.338846,85.532909,86.235879,84.338296,86.563451,86.562047,80.282694,86.236348,74.437398,85.533784,85.530383,80.301162,58.072462,86.563188,51.200545,85.532806,85.533148,58.90888,84.337426,84.338333,81.654988,86.563185,80.173856,84.338373,86.562062,86.562173,85.533949,86.236808,84.337853,80.282664,86.236709,60.940273,85.533456,80.220653,84.337849,86.56333,84.338315,86.236833,81.655029,86.562238,86.561036,85.533594
12,13,Antrisocopia prehensilis,85.346918,7.23,CR,7.23,4678541.0,1252760,93.70099,93.697747,60.960348,83.848917,93.700904,93.703073,83.79434,83.912625,77.404726,83.848889,61.399308,77.787567,93.703137,85.346852,93.700975,93.77008,93.700964,93.770008,83.91055,83.910485,83.848905,93.770098,83.912587,93.694077,93.697669,93.697737,93.757433,93.70314,95.473045,83.931453,83.910468,93.700996,76.842429,93.730675,83.847846,58.072576,83.912544,83.931472,85.346923,76.84251,93.700971,77.396663,93.730732,76.648324,76.842423,93.703067,58.935578,93.73065,51.741177,83.794426,83.931873,44.383595,93.770006,83.93138,85.346973,95.473149,77.404782,85.346951,85.346933,93.730705,93.730657,95.473045,93.69401,76.648327,83.912571,58.072573,93.69406,77.404811,54.14998,95.473123,58.104268,93.703153,93.770012,93.77008,53.445226,58.941145,58.941175,93.697715,85.346913,83.847811,83.79881,93.69409,93.730704,93.700889,93.703127,83.847715,76.851357,93.730661,93.700974,60.97365,93.703151,83.847726,76.66631,93.73081,95.473112,83.910465,93.730745,93.703126,93.700914,76.666251
13,14,Geothallus tuberosus,85.017101,7.23,CR,7.23,751927.0,131484,85.381992,84.901568,85.325984,89.030977,85.014216,85.014955,85.011058,83.676432,85.017916,85.48422,85.396363,83.682587,85.014281,85.657046,85.67639,85.440149,85.34471,84.900447,85.429837,85.014211,85.015122,83.679627,85.425406,85.433467,85.016639,85.017563,84.964013,85.015897,85.613827,85.388925,89.030981,84.966481,85.476012,84.900572,85.015242,84.961247,85.660716,84.976467,84.930032,84.930744,85.014075,85.660686,85.48184,83.726593,85.479716,84.974397,85.010811,85.010522,85.665047,85.448195,85.438057,85.014214,84.977709,85.432396,83.671784,83.671894,85.665829,85.321727,85.483732,89.020262,85.313837,83.637348,85.385006,85.431672,85.011669,85.38149,83.722735,85.318577,85.318651,84.97474,83.72357,84.974632,85.011008,85.618658,85.6657,83.722088,89.0212,84.974124,85.011291,85.661876,83.719951,85.429517,85.471624,85.014988,85.48088,85.47617,85.320084,83.685825,83.671965,85.480658,85.015242,84.965459,89.021627,85.011926,85.479971,85.432058,84.970782,85.477974,81.448845,85.015619
14,15,Nanocopia minuta,82.511944,7.2,CR,7.2,4678544.0,1252761,89.173105,89.170018,61.566387,81.063705,89.173019,89.175083,81.010937,81.125297,75.768965,81.063677,62.009711,76.143717,89.175147,82.511878,89.17309,89.238854,89.173079,89.238783,81.12329,81.123225,81.063693,89.238872,81.125259,89.166525,89.169939,89.170008,89.226816,89.17515,90.859523,81.143499,81.123208,89.173111,75.21855,89.201352,81.062671,58.649905,81.125215,81.143518,82.511949,75.218632,89.173085,75.761071,89.201409,75.028549,75.218544,89.175077,59.521487,89.201327,52.757993,81.011024,81.143905,45.43328,89.23878,81.143426,82.511999,90.859627,75.76902,82.511977,82.511959,89.201382,89.201334,90.859523,89.166458,75.028552,81.125243,58.649902,89.166507,75.769049,54.688311,90.859601,58.681912,89.175163,89.238787,89.238855,54.495534,59.527109,59.527139,89.169986,82.511939,81.062635,81.015262,89.166538,89.20138,89.173004,89.175136,81.062539,75.227291,89.201337,89.173089,61.579821,89.175161,81.062551,75.046155,89.201484,90.859589,81.123205,89.201422,89.175136,89.173029,75.046097
15,16,Speleoperipatus spelaeus,82.352288,7.2,CR,7.2,3583303.0,1082203,85.829994,90.697324,90.048892,85.78327,90.048808,87.05796,63.400583,66.207722,63.400606,90.068549,90.697326,87.066244,87.066236,74.419544,63.400672,87.058019,63.400662,78.046882,90.697322,63.467208,87.066267,87.058037,90.068517,78.07441,76.192357,90.697314,80.553727,87.058028,63.400592,90.068554,66.207624,90.068566,90.068464,82.352291,63.40071,85.783151,85.783167,90.048906,90.693949,63.40067,63.400668,87.057952,63.400669,63.400677,82.352263,90.693889,87.057962,87.05795,74.621467,79.988712,90.697328,63.400605,77.079098,82.352285,82.401484,79.988739,90.048871,63.400677,87.058024,90.693941,63.400594,63.400593,82.35227,63.40068,62.181839,85.783148,87.058004,87.058056,79.988696,55.941787,85.829942,63.400676,73.178627,79.988699,77.079132,87.066182,87.066212,85.783204,73.178679,90.068549,85.783232,79.825707,74.673278,78.046884,79.988692,79.988621,78.074423,82.352276,90.068545,90.068547,90.068548,78.046888,74.412888,90.068565,85.829966,63.400581,90.693981,73.178687,90.048818,63.400642
16,17,Aneuretus simoni,82.1773535,7.19,CR,7.19,950983.0,1475489,2.861435,53.496491,53.507161,85.008825,82.174735,84.973186,51.385,53.490842,85.005239,82.17064,84.970268,84.968221,111.326331,60.650021,84.970266,1.599163,100.669975,51.372567,82.177127,2.589647,82.164195,111.314598,82.165761,82.183342,82.160274,60.642922,82.179065,84.996411,51.381171,100.656902,111.312384,111.329762,100.649869,38.227898,100.673835,100.66512,53.496423,38.219845,85.006564,60.650112,42.692279,51.383629,60.642932,84.961878,111.315791,85.004852,111.310806,53.501141,111.305774,84.965416,82.178961,85.000486,2.589627,51.37996,111.325469,2.589743,82.137921,2.861427,85.008676,51.36535,111.319671,38.222183,53.496414,111.313489,100.666339,1.599087,100.662814,1.603275,100.682502,42.677822,84.963709,85.016435,42.680234,38.219802,38.213782,100.670025,38.219783,60.653938,100.653917,53.492139,100.656976,82.17758,1.950145,60.639758,111.324495,84.99647,85.018889,111.310508,53.489353,111.310252,1.599182,1.925569,111.31886,82.186217,51.385076,60.645977,60.654127,100.649984,100.666808,111.309175
17,18,Microsphaerotherium anjozorobe,82.0102975,7.19,CR,7.19,5006920.0,1185588,62.346726,82.013751,57.729896,65.236454,82.012035,65.235854,65.111228,65.20316,82.012863,62.346542,62.344118,63.096753,82.012774,82.014342,82.009324,55.81248,82.009313,82.013206,82.013328,66.704764,82.013347,65.218116,82.013494,62.34638,66.70476,62.34638,82.01374,63.096787,82.008918,82.013176,63.0967,82.013436,62.34508,82.013694,62.346399,82.013103,82.013603,82.013194,82.014007,82.012819,44.983575,82.012971,82.00932,62.346015,62.974609,82.014232,82.013045,82.013641,82.01239,63.096747,63.096478,44.983512,65.114636,82.013291,82.014193,62.346564,82.013047,82.014441,82.013941,62.345298,66.703791,65.236373,63.096713,82.012059,82.013761,66.70426,62.974665,82.012948,82.009546,82.013814,82.013105,63.09645,82.01231,62.345196,82.012311,55.817695,65.235503,82.013427,82.014403,63.096448,65.114719,82.013468,82.012075,63.095435,62.346339,66.70472,82.012947,82.013731,82.013461,82.014165,82.012619,65.152712,82.012943,82.013343,82.01341,66.704744,66.317677,82.01225,82.011049,82.012757
18,19,Symmetromphalus hageni,81.4558835,7.18,CR,7.18,361805.0,989859,88.178088,88.178066,88.12461,88.124629,70.806141,85.43389,70.80613,75.261496,70.806153,75.261486,84.37458,87.323383,88.590479,81.463208,70.80622,88.124581,70.806209,85.433877,84.374576,73.291363,87.323405,70.806215,90.146826,85.464004,83.403818,88.178056,88.177996,88.559518,70.806139,80.104925,75.261399,86.729535,70.80613,90.146794,70.806257,83.403812,81.463228,68.067254,81.455856,70.806217,70.806215,86.628396,70.806216,70.806224,90.146767,70.806129,90.146783,77.861578,81.684232,70.806216,70.806212,70.806152,84.374492,90.146789,90.200635,84.231606,80.104909,70.806225,70.806202,83.403868,70.806141,70.80614,90.146773,70.806228,68.067188,81.68411,83.403868,88.178092,86.588132,65.518617,70.806178,70.806224,80.104836,70.806203,84.374525,87.32332,70.806178,70.806179,80.104888,70.806215,81.684194,87.381061,81.740953,85.433879,78.535417,88.124508,85.464016,90.14678,80.05518,83.4039,70.806214,85.433883,81.455911,70.806231,70.806202,70.806128,70.806222,80.104897,90.146794,70.806189
19,20,Crotaphatrema lamottei,79.343187,7.16,CR,7.16,992197.0,875928,80.928275,79.071411,82.83011,62.884222,62.441757,62.44914,81.573422,78.793518,81.152338,79.072303,62.441787,79.344439,81.156508,84.863888,90.881825,79.344611,102.170434,90.881336,82.733043,62.883193,78.906445,84.861865,79.073719,83.617659,62.334177,80.848168,79.072525,78.907322,62.316837,79.071363,90.882332,102.171056,81.154342,79.34451,78.473914,78.899386,62.614627,90.883359,79.34044,79.340725,62.887754,80.973996,82.734109,84.864391,79.34069,62.887199,79.341935,62.317188,62.88341,90.881893,82.823963,79.340299,62.613882,90.881397,82.824257,79.072121,62.614891,82.828133,81.573095,79.071064,80.927673,79.071369,62.615337,102.174659,62.614023,62.442197,82.733135,79.34097,84.862905,79.34129,62.374306,62.448409,62.442072,80.927629,81.573136,79.345101,79.340248,62.448397,62.450509,102.170461,82.828561,79.074227,82.829544,81.152264,78.899282,79.345012,78.899603,62.441699,62.614496,62.883138,80.927658,81.154213,102.17057,81.152201,81.573109,79.34505,82.823857,90.881543,81.154744,78.791538
